ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_14008,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,14008,M
ASV_1413,NA,Apicomplexa,,Apicomplexa,1,1413,M
ASV_3229,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,3229,Y
ASV_10592,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,1,10592,Y
ASV_1068,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,2,1068,Y
ASV_3237,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,3237,Y
ASV_3238,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,3238,Y
ASV_1445,NA,Apicomplexa,,Apicomplexa,1,1445,M
ASV_2660,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2660,Y
ASV_3246,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3246,Y
ASV_2692,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2692,Y
ASV_1475,NA,Entamoeba,,Entamoeba,1,1475,Y
ASV_15256,NA,Apicomplexa,,Apicomplexa,1,15256,M
ASV_328,Eimeria,Eimeria,,Eimeria,5,328,Y
ASV_15655,NA,Apicomplexa_sp._Phaedon_brassicae/Daegwallyeong,,Apicomplexa,1,15655,M
ASV_1621,NA,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,1621,M
ASV_1069,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,9,1069,Y
ASV_2743,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2743,Y
ASV_3115,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3115,Y
ASV_3294,Eimeria,Eimeria,,Eimeria,2,3294,Y
ASV_330,Eimeria,Eimeria,,Eimeria,15,330,Y
ASV_276,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,29,276,Y
ASV_1627,NA,Entamoeba,,Entamoeba,1,1627,Y
ASV_3192,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,3,3192,Y
ASV_3315,Blastocystis,Blastocystis_sp._CJ99-284,,Blastocystis,1,3315,Y
ASV_3203,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,3203,Y
ASV_1646,NA,SAR,,Eukaryota,1,1646,N
ASV_334,Hepatozoon,Hepatozoon,,Hepatozoon,14,334,Y
ASV_1652,NA,Apicomplexa,,Apicomplexa,1,1652,M
ASV_2793,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2793,Y
ASV_3352,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,1,3352,Y
ASV_2823,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2823,Y
ASV_1675,NA,Apicomplexa,,Apicomplexa,1,1675,M
ASV_1679,NA,SAR,,Eukaryota,1,1679,N
ASV_339,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,16,339,Y
ASV_1698,NA,Cryptosporidium,,Apicomplexa,1,1698,M
ASV_1720,NA,Apicomplexa,,Apicomplexa,1,1720,M
ASV_3394,Eimeria,Eimeria,,Eimeria,2,3394,Y
ASV_173,NA,Apicomplexa,,Apicomplexa,1,173,M
ASV_2824,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,1,2824,Y
ASV_3407,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,3407,Y
ASV_1087,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,3,1087,Y
